country,education_index,rank_happiness,happiness_score,gdp_per_capita_log,social_support,healthy_life_exp,freedom_choices,generosity,corruption_perception,literacy_rate_pct,gov_expenditure_edu_pct_gdp,school_enrollment_secondary_pct,school_enrollment_tertiary_pct,tertiary_attainment_pct,gini_coefficient,pisa_score_avg
Curacao,,,,,,,,,,,5.30074159005788,123.429739994157,23.0842005676443,19.03,,
Cyprus,0.827,67.0,5.942,1.72,1.348,0.84,0.612,0.108,0.041,,4.74210977554321,105.159156799316,107.26212310791,34.7,30.7,
Czech Republic,0.89,20.0,6.775,1.692,1.716,0.658,0.916,0.118,0.084,,4.30291986465454,97.6154174804688,66.7282867431641,19.18,26.2,491.3
DR Congo,,141.0,3.469,0.544,0.929,0.278,0.6,0.151,0.061,,2.84466514463005,55.4860992431641,6.37987995147705,,42.1,
Denmark,0.92,2.0,7.521,1.825,1.748,0.82,0.955,0.15,0.488,,6.35586023330688,126.98078918457,81.2308197021484,45.1,29.0,490.3
Djibouti,0.325,,,,,,,,,,3.75143003463745,,5.16012001037598,7.56,,
Dominica,0.632,,,,,,,,,,4.69423746286593,102.585807800293,,17.86,,
Dominican Republic,0.666,76.0,5.846,1.457,1.5,0.615,0.866,0.063,0.186,,3.7606477375256,75.4805556926418,58.2428049803824,27.17,39.6,
East Timor,0.51,,,,,,,,,,5.24052834781801,84.7410404382553,30.9611108169641,,,
Ecuador,0.702,62.0,5.965,1.299,1.32,0.702,0.712,0.058,0.066,,3.81964993476868,92.8118025876465,67.8851161961618,23.47,45.3,
Egypt,0.618,135.0,3.817,1.347,1.075,0.473,0.593,0.018,0.103,,,84.474862198776,37.9005584716797,16.5,31.5,
El Salvador,0.555,37.0,6.492,1.222,1.228,0.559,0.955,0.054,0.264,,3.18734002113342,65.5709865566541,32.3802636612661,14.47,38.8,350.3
Eritrea,0.269,,,,,,,,,,,44.0441284179688,3.20262002944946,,,
Estonia,0.882,39.0,6.417,1.65,1.716,0.642,0.902,0.128,0.378,,5.20733976364136,108.442070007324,67.6179275512695,31.87,30.6,515.7
Ethiopia,0.341,132.0,3.898,0.757,1.051,0.416,0.54,0.182,0.1,,2.9272447768927,33.9114221981431,5.9192507771213,1.07,35.0,
Fiji,0.764,,,,,,,,,,4.24679790890603,98.540177642079,60.9679066767014,,,
Finland,0.927,1.0,7.736,1.749,1.783,0.824,0.986,0.11,0.502,,6.37578010559082,142.861724853516,108.130409240723,38.62,27.7,495.0
France,0.817,33.0,6.593,1.733,1.535,0.832,0.743,0.099,0.264,,5.32434988021851,103.962417602539,70.4536437988281,33.66,32.4,478.3
Gabon,0.65,97.0,5.12,1.386,1.224,0.387,0.651,0.042,0.086,,2.31594287726056,70.2639966402203,,12.7,38.0,
Gambia,0.406,117.0,4.423,0.778,0.958,0.348,0.611,0.255,0.045,,2.80838156544977,107.027125590442,1.18089454395552,3.09,35.9,
Georgia,0.862,91.0,5.4,1.444,1.275,0.482,0.844,0.0,0.172,,3.70918011665344,103.183588288651,78.2652247393707,32.38,34.5,
Germany,0.943,22.0,6.753,1.785,1.625,0.776,0.858,0.148,0.351,,5.23916006088257,100.603057861328,78.5947494506836,31.85,31.7,482.3
Ghana,0.563,125.0,4.34,1.053,1.01,0.438,0.771,0.139,0.025,,2.90963831638452,77.8168696801948,22.0958254757285,7.73,43.5,
Greece,0.849,81.0,5.776,1.608,1.438,0.725,0.396,0.003,0.063,,3.37547993659973,105.191741943359,165.113418579102,24.37,33.0,444.0
Grenada,0.77,,,,,,,,,,5.12544845968893,100.989177237286,99.9891967773438,20.09,,
Guatemala,0.519,44.0,6.362,1.249,1.33,0.376,0.882,0.075,0.085,,3.10877990722656,47.3762534803949,27.2948879201171,8.05,48.3,352.3
Guinea,0.354,102.0,4.929,0.873,0.791,0.306,0.676,0.157,0.098,,1.72470879088585,38.5548782348633,10.8547201156616,4.1,33.0,
Guinea-Bissau,0.414,,,,,,,,,,2.01027011871338,,,0.95,34.8,
Guyana,0.601,,,,,,,,,,4.45058012008667,84.4850463867188,25.1520757996244,7.75,,
Haiti,0.456,,,,,,,,,,0.964648012977964,,,1.81,41.1,
Honduras,0.499,63.0,5.964,1.036,1.187,0.436,0.862,0.134,0.079,,4.54962037172702,54.5012702941895,25.3231382609304,6.87,48.2,
Hong Kong,0.88,88.0,5.491,1.79,1.41,0.948,0.674,0.116,0.386,,,,,32.79,,
"Hong Kong SAR, China",,,,,,,,,,,3.80328011512756,106.185208398621,105.461738484398,,,
Hungary,0.821,69.0,5.915,1.638,1.742,0.587,0.681,0.099,0.057,,3.8011999130249,105.419059753418,56.5924415588379,24.66,29.9,475.7
Iceland,0.926,3.0,7.515,1.799,1.84,0.873,0.971,0.201,0.173,,7.30798006057739,108.911361694336,76.5200729370117,34.65,,452.0
India,0.555,118.0,4.389,1.149,0.86,0.316,0.914,0.141,0.12,,4.09865814174589,78.8639591218839,34.2394344991225,8.17,35.7,
Indonesia,0.65,83.0,5.617,1.288,1.372,0.454,0.918,0.323,0.044,,1.27517088245674,96.0002120295081,44.8813034886441,10.76,38.2,369.3
Iran,,99.0,5.093,1.33,1.367,0.609,0.456,0.202,0.122,,2.82443290958712,85.1469802856445,58.6838607788086,21.43,40.9,
Iraq,0.557,101.0,4.976,1.261,1.275,0.589,0.503,0.1,0.069,,,,,,29.5,
Ireland,0.922,15.0,6.889,1.988,1.659,0.823,0.906,0.179,0.382,,2.90461993217468,130.604965209961,77.5933380126953,48.51,31.4,504.0
Israel,0.883,8.0,7.234,1.695,1.743,0.824,0.74,0.144,0.193,,5.93291997909546,99.3012008666992,57.143440246582,38.59,38.6,471.0
Italy,0.793,40.0,6.415,1.724,1.526,0.852,0.641,0.082,0.071,,4.06775999069214,100.678756713867,75.9496536254883,18.39,35.9,480.7
Ivory Coast,0.453,98.0,5.102,1.038,0.76,0.206,0.661,0.1,0.162,,3.39421010017395,63.9607557764462,11.5724272130065,,35.3,
Jamaica,0.689,73.0,5.87,1.182,1.545,0.504,0.869,0.075,0.019,,5.65453693979426,85.4353132628153,26.2334142821948,13.78,40.0,
Japan,0.851,55.0,6.147,1.678,1.55,0.921,0.746,0.014,0.2,,3.33663988113403,101.537071228027,64.4907608032227,41.75,32.9,533.0
Jordan,0.667,128.0,4.31,1.158,1.202,0.573,0.7,0.051,0.164,,3.51486315596325,91.9696843781763,33.0567036969523,28.01,33.7,380.7
Kazakhstan,0.84,43.0,6.378,1.586,1.688,0.504,0.878,0.111,0.118,,4.86469984054565,95.2393054334066,54.6563982045582,28.69,27.8,402.7
Kenya,0.534,115.0,4.51,0.994,1.047,0.448,0.649,0.22,0.073,,3.96229304413263,84.3083880306996,8.67676730066979,5.34,38.7,
Kiribati,0.594,,,,,,,,,,16.39053,94.7441990494828,,3.85,,
Kosovo,,29.0,6.659,1.281,1.454,0.896,0.893,0.201,0.087,,,,,15.92,29.0,344.3
Kuwait,0.638,30.0,6.629,1.691,1.481,0.766,0.934,0.143,0.167,,5.0262608311279,95.3934020996094,51.8967176944636,15.23,29.5,
Kyrgyzstan,0.73,75.0,5.858,1.032,1.715,0.647,0.981,0.169,0.053,,6.82694680798777,91.2655243671618,53.588822099772,24.53,29.0,
Laos,,93.0,5.301,1.122,1.01,0.493,0.916,0.145,0.164,,1.23375160355741,54.4330611689851,14.8841695785522,7.99,36.4,
Latvia,0.883,51.0,6.207,1.619,1.711,0.503,0.789,0.108,0.082,,4.3196702003479,102.126243591309,85.7360610961914,34.69,35.1,484.0
Lebanon,0.604,145.0,3.188,1.223,0.984,0.44,0.279,0.071,0.041,,1.50416361108086,62.8279212477627,54.4012561547071,,31.8,
Lesotho,0.532,138.0,3.757,0.737,1.131,0.0,0.606,0.065,0.072,,7.29011355590957,59.3586515505342,9.93844298033582,,44.9,
Liberia,0.426,129.0,4.277,0.582,0.888,0.324,0.653,0.143,0.068,,2.2665256232687,37.7416801452637,10.838520055325,4.35,35.3,
Libya,0.61,79.0,5.82,1.247,1.309,0.549,0.724,0.111,0.214,,,,,11.29,,
Liechtenstein,0.832,,,,,,,,,,2.55604004859924,118.726867675781,46.0189590454102,32.94,,
Lithuania,0.898,16.0,6.829,1.684,1.699,0.592,0.702,0.031,0.123,,4.25285005569458,105.428817749023,77.0064163208008,38.61,35.7,474.0
Luxembourg,0.806,9.0,7.122,2.028,1.558,0.864,0.931,0.117,0.397,,3.74451994895935,107.744010925293,21.5371704101562,36.55,34.9,483.3
"Macao SAR, China",,,,,,,,,,,3.50183010101318,92.5810397553517,129.151041666667,,,
Madagascar,0.486,130.0,4.157,0.588,0.938,0.341,0.292,0.131,0.118,,3.04770386693564,34.1320359801924,6.1466638463036,4.56,42.6,
Malawi,0.47,144.0,3.26,0.588,0.489,0.28,0.677,0.115,0.136,,2.74888371105811,36.644092994481,2.70813684546823,1.35,38.5,
Malaysia,0.726,64.0,5.955,1.571,1.315,0.446,0.991,0.181,0.11,,3.51481008529663,79.4472788704033,37.2745812491757,22.58,40.7,404.3
Maldives,0.573,,,,,,,,,,5.16706374664829,79.3565296847573,48.4968654322788,29.17,,
Mali,0.286,123.0,4.345,0.709,0.908,0.318,0.767,0.093,0.114,,4.18465094218116,38.9389470920545,5.12750941173932,4.37,33.0,
Malta,0.825,48.0,6.316,1.76,1.671,0.837,0.837,0.217,0.115,,4.71258020401001,103.027229309082,80.5250091552734,25.65,,
Marshall Islands,0.707,,,,,,,,,,7.70088005065918,89.551989301237,41.3350449293967,18.68,,
Mauritania,0.396,114.0,4.542,1.023,0.919,0.516,0.454,0.113,0.195,,4.71521997451782,36.0277030077074,5.97194330025359,2.13,32.6,
Mauritius,0.736,78.0,5.832,1.499,1.521,0.617,0.761,0.095,0.13,,4.57479000091553,89.5019998431496,43.3386887794765,12.57,36.8,
Mexico,0.703,10.0,6.979,1.435,1.504,0.55,0.879,0.057,0.118,,4.05987977981567,102.055458068848,47.474681854248,18.77,45.4,406.7
Moldova,,,,,,,,,,,6.55709981918335,97.8896863952854,71.1679028753075,23.18,25.7,413.0
Monaco,,,,,,,,,,,1.73223996162415,153.586303710938,53.5667991638184,49.0,,
Mongolia,0.736,77.0,5.833,1.336,1.731,0.423,0.629,0.18,0.053,,3.65764999389648,96.8181201904352,67.941399950927,34.16,32.7,410.3
Montenegro,0.803,71.0,5.877,1.507,1.551,0.618,0.768,0.075,0.138,,,93.8724975585938,55.1743011474609,29.19,36.7,408.0
Morocco,0.569,112.0,4.622,1.139,0.635,0.585,0.748,0.031,0.095,,6.02096928801329,87.7346312462207,47.4687039298036,10.2,39.5,365.7
Mozambique,0.395,96.0,5.19,0.559,1.131,0.124,0.813,0.127,0.173,,5.97607342054314,37.2411918640137,7.4630510423433,2.36,54.0,
Myanmar,0.464,126.0,4.321,0.975,1.144,0.446,0.569,0.322,0.163,,1.99976003170013,77.0191497802734,20.3723297119141,8.96,30.7,
Namibia,0.584,103.0,4.911,1.182,1.482,0.104,0.564,0.052,0.056,,9.3919470845238,81.6173009252032,26.1092654658031,,59.1,
Nauru,,,,,,,,,,,5.77715015411377,90.1002502441406,,6.36,,
Nepal,0.521,92.0,5.311,0.944,1.21,0.463,0.764,0.155,0.099,,3.95641148036706,89.8898815141438,19.0357612047581,6.52,32.8,
Netherlands,0.914,5.0,7.306,1.822,1.667,0.844,0.86,0.186,0.344,,5.17918014526367,137.514724731445,86.5938262939453,32.51,28.2,504.3
New Zealand,0.926,12.0,6.952,1.698,1.712,0.815,0.861,0.167,0.429,,5.21326017379761,113.395988464355,76.3811416625977,40.95,36.2,493.7
Nicaragua,0.573,47.0,6.33,1.084,1.47,0.646,0.912,0.103,0.271,,2.86954998970032,70.1749572753906,30.3635101318359,9.98,46.2,
Niger,0.249,110.0,4.725,0.606,0.796,0.258,0.759,0.122,0.137,,4.07412707618114,21.5605140503495,4.15170730347346,1.92,32.9,
Nigeria,0.499,105.0,4.885,0.989,1.245,0.38,0.639,0.17,0.028,,0.319069049792343,46.8931503295898,9.74153350922586,17.03,35.1,
North Macedonia,0.704,86.0,5.503,1.458,1.537,0.544,0.637,0.13,0.007,,,90.0724868774414,55.0082015991211,22.46,30.7,383.0
Norway,0.93,7.0,7.262,1.902,1.711,0.863,0.962,0.168,0.425,,5.43234014511108,117.775093078613,95.0573806762695,45.12,26.1,480.3
Oman,0.718,52.0,6.197,1.603,1.411,0.5,0.93,0.142,,,4.38311004638672,91.9645458184777,43.8433613964625,17.29,,
Pakistan,0.402,109.0,4.768,0.982,0.759,0.417,0.529,0.136,0.046,,1.94658005237579,42.2911451386891,10.4770304814137,8.85,29.6,
Palau,0.855,,,,,,,,,,3.43726476321334,97.286012526096,41.130604288499,31.6,,
Palestine,,108.0,4.78,1.047,1.456,,0.618,0.055,0.081,97.0,5.43442010879517,89.1210984011759,44.4904623709098,29.03,,
Panama,0.7,41.0,6.407,1.594,1.6,0.717,0.876,0.041,0.042,,2.47225999832153,76.5998992919922,53.6949637061742,30.0,49.8,379.7
Papua New Guinea,0.439,,,,,,,,,,0.782122804685732,52.0929750873194,,,,
Paraguay,0.638,54.0,6.172,1.329,1.615,0.291,0.921,0.097,0.063,,3.393709897995,79.7518585422984,37.6179261040957,25.15,45.7,375.0
Peru,0.74,65.0,5.947,1.323,1.364,0.551,0.71,0.05,0.021,,4.24538993835449,111.395393371582,71.2404708862305,25.75,43.8,402.3
Philippines,0.678,57.0,6.107,1.177,1.385,0.315,0.966,0.075,0.11,,3.6236863467978,91.5493424610693,44.2394203278519,34.08,40.7,352.7
Poland,0.869,26.0,6.673,1.666,1.595,0.63,0.79,0.021,0.169,,4.31372976303101,108.386131286621,76.8794097900391,27.88,30.2,492.3
Portugal,0.768,60.0,6.013,1.646,1.56,0.822,0.879,0.04,0.034,,4.55160999298096,120.347076416016,77.6778182983398,20.76,33.5,477.3
Puerto Rico (US),,,,,,,,,,,4.26898753959873,110.409713745117,77.9263575380698,,,
Qatar,0.659,,,,,,,,,,3.23368000984192,100.136596679688,38.2058906555176,34.5,,421.7
Republic of Moldova,,80.0,5.819,1.332,1.43,0.414,0.83,0.054,0.037,,,,,,,
Republic of the Congo,,,,,,,,,,,3.34005209256916,50.520320892334,10.3812103271484,,,
Romania,0.765,35.0,6.563,1.636,1.401,0.561,0.847,0.028,0.015,,3.2788200378418,81.6316070556641,55.1682891845703,19.07,34.8,427.3
Russia,0.823,66.0,5.945,1.63,1.549,0.47,0.702,0.095,0.125,,4.16454853394225,92.4840470838527,93.7277679443359,31.71,36.0,
Rwanda,0.458,,,,,,,,,,4.92002010345459,45.1251505756161,8.88624308383425,5.54,43.7,
Saint Kitts and Nevis,0.673,,,,,,,,,,3.49726171629099,137.513208876365,93.92236328125,,,
Saint Lucia,0.672,,,,,,,,,,2.74211001396179,88.6818771362305,15.0396404266357,15.31,,
