country,education_index,happiness_score,rank_happiness,literacy_rate_pct,tertiary_attainment_pct
Sierra Leone,0.406,2.998,146.0,,98488.0
Singapore,0.924,6.565,34.0,,1438788.0
Slovakia,0.826,6.221,50.0,,962584.0
Slovenia,0.91,6.792,19.0,,459281.0
Solomon Islands,0.474,,,,40244.0
Somalia,,4.347,122.0,,
South Africa,0.724,5.213,95.0,,4602765.0
South Korea,,6.038,58.0,,16016148.0
Spain,0.831,6.466,38.0,,12025256.0
Sri Lanka,0.746,3.891,133.0,,499563.0
Suriname,0.675,,,,28345.0
Swaziland,,3.774,137.0,,
Sweden,0.918,7.345,4.0,,32546782090548.0
Switzerland,0.9,6.935,13.0,,2622999.0
Taiwan,,6.669,27.0,,
Tajikistan,0.682,5.411,90.0,,374288.0
Tanzania,,3.8,136.0,,1852596.0
Thailand,0.682,6.222,49.0,,7076759.0
Togo,0.517,4.315,127.0,,
Trinidad and Tobago,0.728,5.905,70.0,,
Tunisia,0.661,4.552,113.0,,847464.0
Turkey,0.731,5.262,94.0,,13265861.0
Turkmenistan,0.653,,,,369545.0
Uganda,0.523,4.461,116.0,,1774614.0
Ukraine,0.799,4.68,111.0,,8445200.0
United Arab Emirates,0.802,6.759,21.0,,
United Kingdom,0.948,6.728,23.0,,17508672.0
United States of America,0.9,6.724,24.0,,97567079.0
Uruguay,0.765,6.661,28.0,,
Uzbekistan,0.729,6.193,53.0,,
Vanuatu,0.561,,,,3478.0
Venezuela,,5.683,82.0,,3517000.0
Vietnam,0.63,6.352,46.0,,
Yemen,0.36,3.561,140.0,,450690.0
Zambia,0.557,3.912,131.0,,
Zimbabwe,0.587,3.396,143.0,,662975.0
